"Week_datum","Deaths"
2013-12-29,1
2014-01-05,1
2014-01-12,5
2014-01-19,16
2014-01-26,5
2014-02-02,20
2014-02-09,1
2014-02-16,16
2014-02-23,27
2014-03-02,1
2014-03-09,59
2014-03-16,261
2014-03-23,5
2014-03-30,5
2014-04-06,21
2014-04-13,28
2014-04-20,13
2014-04-27,58
2014-05-04,158
2014-05-11,218
2014-05-18,4
2014-05-25,66
2014-06-01,6
2014-06-08,36
2014-06-15,77
2014-06-22,242
2014-06-29,143
2014-07-06,244
2014-07-13,416
2014-07-20,22
2014-07-27,136
2014-08-03,176
2014-08-10,1
2014-08-17,30
2014-08-24,351
2014-08-31,188
2014-09-07,534
2014-09-14,252
2014-09-21,7
2014-09-28,296
2014-10-05,6
2014-10-12,15
2014-10-19,5
2014-10-26,73
2014-11-02,43
2014-11-09,32
2014-11-16,3
2014-11-23,22
2014-11-30,48
2014-12-07,27
2014-12-14,10
2014-12-21,35
2014-12-28,775
2015-01-04,14
2015-01-11,56
2015-01-18,38
2015-01-25,101
2015-02-01,50
2015-02-08,337
2015-02-15,4
2015-02-22,28
2015-03-01,86
2015-03-08,62
2015-03-15,29
2015-03-22,2
2015-03-29,393
2015-04-05,62
2015-04-12,1485
2015-04-19,39
2015-04-26,61
2015-05-03,48
2015-05-10,115
2015-05-17,21
2015-05-24,200
2015-05-31,92
2015-06-07,5
2015-06-14,58
2015-06-21,25
2015-06-28,30
2015-07-05,78
2015-07-12,114
2015-07-19,57
2015-07-26,33
2015-08-02,257
2015-08-09,121
2015-08-16,67
2015-08-23,383
2015-08-30,200
2015-09-06,40
2015-09-13,109
2015-09-20,92
2015-09-27,84
2015-10-04,162
2015-10-11,105
2015-10-18,185
2015-10-25,220
2015-11-01,65
2015-11-08,38
2015-11-15,107
2015-11-22,29
2015-11-29,64
2015-12-06,114
2015-12-13,173
2015-12-20,183
2015-12-27,207
2016-01-03,104
2016-01-10,73
2016-01-17,142
2016-01-24,245
2016-01-31,46
2016-02-07,210
2016-02-14,112
2016-02-21,131
2016-02-28,66
2016-03-06,48
2016-03-13,161
2016-03-20,120
2016-03-27,212
2016-04-03,495
2016-04-10,25
2016-04-17,79
2016-04-24,143
2016-05-01,14
2016-05-08,91
2016-05-15,107
2016-05-22,899
2016-05-29,621
2016-06-05,36
2016-06-12,111
2016-06-19,84
2016-06-26,77
2016-07-03,27
2016-07-10,112
2016-07-17,116
2016-07-24,23
2016-07-31,215
2016-08-07,40
2016-08-14,55
2016-08-21,27
2016-08-28,81
2016-09-04,23
2016-09-11,48
2016-09-18,374
2016-09-25,81
2016-10-02,94
2016-10-09,103
2016-10-16,199
2016-10-23,330
2016-10-30,333
2016-11-06,76
2016-11-13,449
2016-11-20,70
2016-11-27,32
2016-12-04,149
2016-12-11,180
2016-12-18,274
2016-12-25,81
2017-01-01,32
2017-01-08,243
2017-01-15,127
2017-01-22,134
2017-01-29,47
2017-02-05,45
2017-02-12,48
2017-02-19,263
2017-02-26,64
2017-03-05,44
2017-03-12,56
2017-03-19,258
2017-03-26,59
2017-04-02,11
2017-04-09,119
2017-04-16,185
2017-04-23,68
2017-04-30,48
2017-05-07,222
2017-05-14,208
2017-05-21,197
2017-05-28,159
2017-06-04,151
2017-06-11,328
2017-06-18,77
2017-06-25,282
2017-07-02,162
2017-07-09,66
2017-07-16,63
2017-07-23,75
2017-07-30,35
2017-08-06,92
2017-08-13,42
2017-08-20,87
2017-08-27,215
2017-09-03,112
2017-09-10,94
2017-09-17,233
2017-09-24,129
2017-10-01,102
2017-10-08,142
2017-10-15,165
2017-10-22,107
2017-10-29,168
2017-11-05,77
2017-11-12,98
2017-11-19,123
2017-11-26,92
2017-12-03,93
2017-12-10,75
2017-12-17,63
2017-12-24,26
2017-12-31,164
2018-01-07,162
2018-01-14,120
2018-01-21,119
2018-01-28,187
2018-02-04,63
2018-02-11,96
2018-02-18,48
2018-02-25,61
2018-03-04,32
2018-03-11,67
2018-03-18,54
2018-03-25,89
2018-04-01,60
2018-04-08,88
2018-04-15,40
2018-04-22,109
2018-04-29,71
2018-05-06,41
2018-05-13,67
2018-05-20,71
2018-05-27,164
2018-06-03,111
2018-06-10,155
2018-06-17,360
2018-06-24,169
2018-07-01,181
2018-07-08,39
2018-07-15,129
2018-07-22,63
2018-07-29,101
2018-08-05,61
2018-08-12,102
2018-08-19,61
2018-08-26,237
2018-09-02,105
2018-09-09,75
2018-09-16,67
2018-09-23,61
2018-09-30,86
2018-10-07,130
2018-10-14,73
2018-10-21,148
2018-10-28,52
2018-11-04,95
2018-11-11,54
2018-11-18,108
2018-11-25,40
2018-12-02,59
2018-12-09,25
2018-12-16,97
2018-12-23,37
2018-12-30,49
2019-01-06,26
2019-01-13,276
2019-01-20,72
2019-01-27,173
2019-02-03,75
2019-02-10,57
2019-02-17,41
2019-02-24,40
2019-03-03,77
2019-03-10,93
2019-03-17,154
2019-03-24,33
2019-03-31,88
2019-04-07,85
2019-04-14,63
2019-04-21,149
2019-04-28,98
2019-05-05,123
2019-05-12,151
2019-05-19,57
2019-05-26,35
2019-06-02,89
2019-06-09,112
2019-06-16,82
2019-06-23,75
2019-06-30,195
2019-07-07,66
2019-07-14,102
2019-07-21,194
2019-07-28,68
2019-08-04,31
2019-08-11,83
2019-08-18,178
2019-08-25,103
2019-09-01,66
2019-09-08,55
2019-09-15,88
2019-09-22,117
2019-09-29,76
2019-10-06,120
2019-10-13,111
2019-10-20,92
2019-10-27,34
2019-11-03,82
2019-11-10,113
2019-11-17,264
2019-11-24,237
2019-12-01,104
2019-12-08,70
2019-12-15,251
2019-12-22,103
2019-12-29,119
2020-01-05,141
2020-01-12,79
2020-01-19,55
2020-01-26,36
2020-02-02,51
2020-02-09,195
2020-02-16,29
2020-02-23,26
2020-03-01,50
2020-03-08,54
2020-03-15,32
2020-03-22,92
2020-03-29,60
2020-04-05,12
2020-04-12,104
2020-04-19,13
2020-04-26,39
2020-05-03,6
2020-05-10,14
2020-05-17,28
2020-05-24,69
2020-05-31,34
2020-06-07,128
2020-06-14,20
2020-06-21,55
2020-06-28,79
2020-07-05,36
2020-07-12,95
2020-07-19,111
2020-07-26,79
2020-08-02,112
2020-08-09,29
2020-08-16,143
2020-08-23,75
2020-08-30,52
2020-09-06,72
2020-09-13,113
2020-09-20,257
2020-09-27,110
2020-10-04,69
2020-10-11,87
2020-10-18,266
2020-10-25,159
2020-11-01,54
2020-11-08,245
2020-11-15,103
2020-11-22,81
2020-11-29,72
2020-12-06,88
2020-12-13,107
2020-12-20,83
2020-12-27,33
2021-01-03,65
2021-01-10,25
2021-01-17,92
2021-01-24,59
2021-01-31,39
2021-02-07,113
2021-02-14,125
2021-02-21,44
2021-02-28,131
2021-03-07,136
2021-03-14,129
2021-03-21,43
2021-03-28,32
2021-04-04,65
2021-04-11,154
2021-04-18,196
2021-04-25,93
2021-05-02,36
2021-05-09,102
2021-05-16,107
2021-05-23,60
2021-05-30,266
2021-06-06,46
2021-06-13,167
2021-06-20,134
2021-06-27,293
2021-07-04,134
2021-07-11,101
2021-07-18,64
2021-07-25,132
2021-08-01,105
2021-08-08,156
2021-08-15,193
2021-08-22,363
2021-08-29,147
2021-09-05,71
2021-09-12,54
2021-09-19,108
2021-09-26,180
2021-10-03,53
2021-10-10,97
2021-10-17,77
2021-10-24,70
2021-10-31,55
2021-11-07,81
2021-11-14,127
2021-11-21,96
2021-11-28,59
2021-12-05,171
2021-12-12,302
2021-12-19,231
2021-12-26,110
2022-01-02,186
2022-01-09,53
2022-01-16,118
2022-01-23,190
2022-01-30,281
2022-02-06,91
2022-02-13,64
2022-02-20,82
2022-02-27,215
2022-03-06,114
2022-03-13,118
2022-03-20,101
2022-03-27,211
2022-04-03,187
2022-04-10,136
2022-04-17,163
2022-04-24,106
2022-05-01,35
2022-05-08,180
2022-05-15,183
2022-05-22,231
2022-05-29,64
2022-06-05,78
2022-06-12,134
2022-06-19,97
2022-06-26,231
2022-07-03,117
2022-07-10,40
2022-07-17,78
2022-07-24,187
2022-07-31,78
2022-08-07,159
2022-08-14,59
2022-08-21,137
2022-08-28,99
2022-09-04,134
2022-09-11,74
2022-09-18,281
2022-09-25,117
2022-10-02,166
2022-10-09,174
2022-10-16,106
2022-10-23,146
2022-10-30,183
2022-11-06,74
2022-11-13,109
2022-11-20,66
2022-11-27,44
2022-12-04,185
2022-12-11,116
2022-12-18,136
2022-12-25,127
2023-01-01,64
2023-01-08,48
2023-01-15,61
2023-01-22,63
2023-01-29,35
2023-02-05,69
2023-02-12,185
2023-02-19,73
2023-02-26,148
2023-03-05,90
2023-03-12,74
2023-03-19,149
2023-03-26,82
2023-04-02,51
2023-04-09,69
2023-04-16,221
2023-04-23,240
2023-04-30,65
2023-05-07,47
2023-05-14,34
2023-05-21,21
2023-05-28,67
2023-06-04,46
2023-06-11,599
NA,16
